Number of Reads,80000
Reads With Valid Barcodes,0.985938
Sequencing Saturation,0.000712758
Q30 Bases in CB+UMI,0.926813
Q30 Bases in RNA read,0.901891
Reads Mapped to Genome: Unique+Multiple,0.173338
Reads Mapped to Genome: Unique,0.139375
Reads Mapped to Gene: Unique+Multiple Gene,NoMulti
Reads Mapped to Gene: Unique Gene,0.0175375
Estimated Number of Cells,1271
Unique Reads in Cells Mapped to Gene,1403
Fraction of Unique Reads in Cells,1
Mean Reads per Cell,1
Median Reads per Cell,1
UMIs in Cells,1402
Mean UMI per Cell,1
Median UMI per Cell,1
Mean Gene per Cell,1
Median Gene per Cell,1
Total Gene Detected,251
